suite,grammar_id,case_id,token_count,baseline_parser,compared_parser,baseline_elapsed_ns,compared_elapsed_ns,compared_over_baseline
earley,cfg5,earley.cfg5.n027,27,lean,earley,6340482078,251000,3.958689527266573e-05
earley,cfg5,earley.cfg5.n029,29,lean,earley,8286786142,369000,4.452872243556445e-05
earley,cfg5,earley.cfg5.n031,31,lean,earley,10348868364,416000,4.0197631795870044e-05
earley,cfg5,earley.cfg5.n033,33,lean,earley,12924874834,366000,2.831748892741347e-05
earley,cfg5,earley.cfg5.n035,35,lean,earley,17776996827,313000,1.760702344979948e-05
earley,cfg5,earley.cfg5.n037,37,lean,earley,19958793613,377000,1.8888917201611027e-05
earley,cfg5,earley.cfg5.n039,39,lean,earley,24539773462,373000,1.5199814316851496e-05
earley,cfg5,earley.cfg5.n041,41,lean,earley,29894451229,611000,2.0438575551013336e-05
earley,cfg5,earley.cfg5.n043,43,lean,earley,36164782071,575000,1.5899446009964592e-05
earley,cfg5,earley.cfg5.n045,45,lean,earley,43697536283,738000,1.688882401104865e-05
earley,cfg5,earley.cfg5.n047,47,lean,earley,50584920736,955000,1.8879143944577754e-05
earley,cfg5,earley.cfg5.n049,49,lean,earley,59238930818,839000,1.4162983504507585e-05
