schema_version,run_id,suite,grammar_id,grammar_description,parser,case_id,size_label,parameter_name,parameter_value,token_count,input_tokens,input_sha256,timeout_seconds,status,outcome,accepted,ambiguity,tree_present,elapsed_ns,wall_elapsed_ns,exit_code,error_kind,detail,elapsed_ms,wall_elapsed_ms,completed,timed_out
1,20260726T135725.806593Z,classical,C1,Odd palindromes; selected family a^n b a^n,costar,classical.C1.medium,medium,n,31,63,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,605dda7374aa322527b1a237857de71216632c5c280b9340442886750ba1b365,60.0,ok,accept,true,unique,true,28987884,29251437,,,,28.987883999999998,29.251437,true,false
1,20260726T135725.806593Z,classical,C1,Odd palindromes; selected family a^n b a^n,costar,classical.C1.large,large,n,255,511,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,e16e0a8deebfcfe2eaeead251b184f0c3bb391fb420becfac2f97f1dbac4f431,60.0,ok,accept,true,unique,true,13047327041,13047667428,,,,13047.327040999999,13047.667427999999,true,false
1,20260726T135725.806593Z,classical,C1,Odd palindromes; selected family a^n b a^n,earley,classical.C1.small,small,n,3,7,a a a b a a a,ca00b210a908372abe054b4249193f5f46f1da2ce49475172c2f13224499627e,60.0,ok,accept,true,unknown,true,61000,307248,,,,0.061,0.30724799999999997,true,false
1,20260726T135725.806593Z,classical,C1,Odd palindromes; selected family a^n b a^n,earley,classical.C1.medium,medium,n,31,63,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,605dda7374aa322527b1a237857de71216632c5c280b9340442886750ba1b365,60.0,ok,accept,true,unknown,true,2845000,3105872,,,,2.8449999999999998,3.1058719999999997,true,false
1,20260726T135725.806593Z,classical,C1,Odd palindromes; selected family a^n b a^n,earley,classical.C1.large,large,n,255,511,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,e16e0a8deebfcfe2eaeead251b184f0c3bb391fb420becfac2f97f1dbac4f431,60.0,ok,accept,true,unknown,true,815766000,817325977,,,,815.766,817.325977,true,false
1,20260726T135725.806593Z,classical,C1,Odd palindromes; selected family a^n b a^n,lean,classical.C1.small,small,n,3,7,a a a b a a a,ca00b210a908372abe054b4249193f5f46f1da2ce49475172c2f13224499627e,60.0,ok,accept,true,unknown,true,611891,790097,,,,0.611891,0.7900969999999999,true,false
1,20260726T135725.806593Z,classical,C1,Odd palindromes; selected family a^n b a^n,lean,classical.C1.medium,medium,n,31,63,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,605dda7374aa322527b1a237857de71216632c5c280b9340442886750ba1b365,60.0,ok,accept,true,unknown,true,54131771,54506276,,,,54.131771,54.506276,true,false
1,20260726T135725.806593Z,classical,C1,Odd palindromes; selected family a^n b a^n,lean,classical.C1.large,large,n,255,511,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,e16e0a8deebfcfe2eaeead251b184f0c3bb391fb420becfac2f97f1dbac4f431,60.0,ok,accept,true,unknown,true,26196254331,26302256609,,,,26196.254331,26302.256609,true,false
1,20260726T135725.806593Z,classical,P1,Context-free a^n b^n,costar,classical.P1.small,small,n,4,8,a a a a b b b b,847e5485c8ce109e62513b7c3dac5a77328a28465985a9d74729ca5319474d2d,60.0,ok,accept,true,unique,true,15974,144472,,,,0.015974,0.144472,true,false
1,20260726T135725.806593Z,classical,P1,Context-free a^n b^n,costar,classical.P1.medium,medium,n,32,64,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b,6ea9f555bd080295f2e4cd2b071a2d592ac3b4c90723250f42eafb4c794c0074,60.0,ok,accept,true,unique,true,94890,190819,,,,0.09489,0.190819,true,false
