schema_version,run_id,suite,grammar_id,parser,case_id,metric,value
1,20260726T135725.806593Z,earley,cfg5,earley,earley.cfg5.n061,chart_items,608
1,20260726T135725.806593Z,earley,cfg5,earley,earley.cfg5.n061,pointers,668
1,20260726T135725.806593Z,earley,cfg5,earley,earley.cfg5.n063,chart_items,628
1,20260726T135725.806593Z,earley,cfg5,earley,earley.cfg5.n063,pointers,690
1,20260726T135725.806593Z,earley,cfg5,earley,earley.cfg5.n065,chart_items,648
1,20260726T135725.806593Z,earley,cfg5,earley,earley.cfg5.n065,pointers,712
1,20260726T135725.806593Z,classical,R1,earley,classical.R1.small,chart_items,19
1,20260726T135725.806593Z,classical,R1,earley,classical.R1.small,pointers,19
1,20260726T135725.806593Z,classical,R1,earley,classical.R1.medium,chart_items,131
1,20260726T135725.806593Z,classical,R1,earley,classical.R1.medium,pointers,131
1,20260726T135725.806593Z,classical,P1,lean,classical.P1.large,cached_endpoints,512
1,20260726T135725.806593Z,classical,P1,lean,classical.P1.large,memo_entries,513
1,20260726T135725.806593Z,classical,P1,lean,classical.P1.large,memo_tags,2
1,20260726T135725.806593Z,classical,P1,lean,classical.P1.large,representative_tree_nodes,263680
1,20260726T135725.806593Z,classical,P1,lean,classical.P1.large,successful_ends,1
1,20260726T135725.806593Z,classical,R1,earley,classical.R1.large,chart_items,1027
1,20260726T135725.806593Z,classical,R1,earley,classical.R1.large,pointers,1027
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.small,cached_endpoints,5
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.small,memo_entries,5
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.small,memo_tags,2
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.small,representative_tree_nodes,52
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.small,successful_ends,1
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.medium,cached_endpoints,33
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.medium,memo_entries,33
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.medium,memo_tags,2
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.medium,representative_tree_nodes,1746
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.medium,successful_ends,1
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n019,cached_endpoints,776
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n019,memo_entries,590
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n019,memo_tags,4
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n019,representative_tree_nodes,7707
1,20260726T135725.806593Z,earley,cfg5,lean,earley.cfg5.n019,successful_ends,19
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n021,cached_endpoints,4213
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n021,memo_entries,463
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n021,memo_tags,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n021,representative_tree_nodes,89228
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n021,successful_ends,21
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.large,cached_endpoints,257
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.large,memo_entries,257
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.large,memo_tags,2
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.large,representative_tree_nodes,99970
1,20260726T135725.806593Z,classical,P2,lean,classical.P2.large,successful_ends,1
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.small,cached_endpoints,12
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.small,memo_entries,8
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.small,memo_tags,1
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.small,representative_tree_nodes,66
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.small,successful_ends,3
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.medium,cached_endpoints,544
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.medium,memo_entries,64
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.medium,memo_tags,1
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.medium,representative_tree_nodes,10503
1,20260726T135725.806593Z,classical,C1,lean,classical.C1.medium,successful_ends,17
1,20260726T135725.806593Z,classical,R2,earley,classical.R2.small,chart_items,24
1,20260726T135725.806593Z,classical,R2,earley,classical.R2.small,pointers,24
1,20260726T135725.806593Z,classical,R2,earley,classical.R2.medium,chart_items,227
1,20260726T135725.806593Z,classical,R2,earley,classical.R2.medium,pointers,227
1,20260726T135725.806593Z,classical,R2,earley,classical.R2.large,chart_items,1795
1,20260726T135725.806593Z,classical,R2,earley,classical.R2.large,pointers,1795
1,20260726T135725.806593Z,classical,P1,earley,classical.P1.small,chart_items,28
1,20260726T135725.806593Z,classical,P1,earley,classical.P1.small,pointers,28
1,20260726T135725.806593Z,classical,P1,earley,classical.P1.medium,chart_items,224
1,20260726T135725.806593Z,classical,P1,earley,classical.P1.medium,pointers,224
1,20260726T135725.806593Z,classical,P1,earley,classical.P1.large,chart_items,1792
1,20260726T135725.806593Z,classical,P1,earley,classical.P1.large,pointers,1792
